run_1979_1981,01-04-1979 00:00:00,19-05-1980 12:00:06
run_1980_1981,01-04-1980 00:00:00,07-01-1981 12:00:07
**run_1981_1983,01-04-1981 00:00:00,01-03-1982 06:00:00
run_1982_1983,01-04-1982 00:00:00,26-09-1982 00:00:01
run_1991_1993,01-04-1991 00:00:00,18-09-1991 18:00:01
run_1992_1993,01-04-1992 00:00:00,21-08-1992 18:00:01
run_1996_1998,01-04-1996 00:00:00,16-09-1996 12:00:00
run_1997_1998,01-04-1997 00:00:00,21-09-1997 06:00:05
run_2005_2007,01-04-2005 00:00:00,25-05-2006 18:00:06
run_2006_2007,01-04-2006 00:00:00,21-02-2007 06:00:08
run_2008_2010,01-04-2008 00:00:00,02-11-2008 18:00:01
run_2008_2010_restart,02-11-2008 00:00:00,01-12-2008 00:00:01
run_2009_2010,06-04-0900 00:00:00,14-03-0901 18:00:01
**run_2013_2015,01-04-2013 00:00:00,21-11-2013 00:00:07
run_2014_2015,01-04-2014 00:00:00,30-11-2014 06:00:07
run_2014_2015_restart,30-11-2014 00:00:00,08-12-2014 06:00:07
run_2016_2018,01-04-2016 12:00:00,23-10-2016 00:00:06
run_2017_2018,01-04-2017 12:00:00,25-10-2017 00:00:04
